job_title,company_name,job_location,job_salary,job_description,job_posted,posted_website,job_link
Computer Vision and Machine Learning Developer,VueReal,"Waterloo, ON",,"Finding and optimizing signals from  from various resources.,Transforming , implementing new features, and designing machine learning models for…",Today,Indeed.ca,https://ca.indeed.com/rc/clk?jk=47e8785dcc6a1117&fccid=9af9b5e2618c04a0&vjs=3
Senior Machine Learning Developer - Computer Vision,HookMotion,"Montréal, QC","$70,000 - $100,000 a year","Data : 5 years (Preferred).,For your first project, you will work on our TableMotion AI product.,This product detects fraud, payment errors and *card…",2 days ago,Indeed.ca,https://ca.indeed.com/company/HookMotion/jobs/Senior-Machine-Learning-Developer-61181018a58e04b9?fccid=edf4664c97cf98ee&vjs=3
Data Scientist,Providence Health Care,"Vancouver, BC",,Reviews clinical  at aggregate levels on a regular basis using analytical reporting tools to support the identification of risks and  patterns or trends…,19 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ba662e5eccb30cd6&fccid=e98b37c86f8eec83&vjs=3
Data Scientist,Guestlogix,Remote,,"With our platform, airlines can deliver content that lets passengers tailor their trip uniquely for themselves.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=908a832217baa491&fccid=cb1dc55bc7b8a49f&vjs=3
Internship Data Scientist,American Iron and Metal,"Montréal, QC",,Learn and apply different AI/data  components/models for the algorithm to be properly translated in production code.,30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=7b8722feb5fdb2a5&fccid=b444d75eb84efc9c&vjs=3
Data Scientist,thinkCOMPASS,"Vaughan, ON",,"Present information using  visualization techniques.,Undertake preprocessing of structured and unstructured data.,Combine models through ensemble modeling.",5 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=4f95187291fd2fc7&fccid=dd616958bd9ddc12&vjs=3
BI Analyst,Blackline Safety,"Calgary, AB",,"You will be expanding and optimizing our  pipeline architecture, as well as optimizing  flows and collection for cross functional teams.",Just posted,Indeed.ca,https://ca.indeed.com/company/Blackline-Safety/jobs/Bi-Analyst-df89807b2e7d0ea9?fccid=049f9c5c8ada1cec&vjs=3
DATA ANALYST/STATISTICIAN,Universite Concordia,"Montréal, QC","$72,784 - $86,940 a year","Reporting to the Executive Director, Institutional Planning and Analysis (OIPA), the incumbent is responsible for accessing  from a variety of sources,…",5 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=5d7e72a57ea183c0&fccid=4ae40a4fd3b9e3bb&vjs=3
Game Data Analyst,SOFTGAMES,Remote,,"The ideal candidate will be a data-driven advisor who enjoys deep diving into our games, has the ability to do independent research and generate insights from…",17 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=d648d642b74b9b32&fccid=f5630d25add4525e&vjs=3
Backend Data Engineer (Machine Learning),REPLICANT,Remote,,"You have a keen eye for  flow and building understandable, testable systems.,This includes not just the  pipelines but how to mesh the real-time…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=8a61a7ed597eedd7&fccid=2e7b78103be850d7&vjs=3
Statistician,City of Mississauga,"Mississauga, ON","$70,848 - $94,467 a year","Analyzing, reporting and monitoring planning  and trends.,Proficiency in the use of database software and demonstrated commitment to excellence in data…",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=63d4e937429411ea&fccid=32c01abb6b482c7f&vjs=3
"Marketing Science Director, Data Innovation",Critical Mass,"Toronto, ON",,"Know when and how to leverage subject matter experts across our 3 sub disciplines within the marketing  group –  strategy,  engineering, data…",23 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=5c7b4c2b8f5df194&fccid=4c1cecd72be0fe72&vjs=3
Senior Data Scientist,Global Relay,"Vancouver, BC",,"Executing all steps in the   process from understanding business requirements to deploying models.,Experience working with very large  sets in an…",7 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=15caff3b5b594942&fccid=0d3fa1b8c4aea5ad&vjs=3
Data Science Manager,Uberflip,"Toronto, ON",,"Reporting into the VP of Product, you will lead our   team and AI product, be the driving force behind our content recommendation engine, as well as…",17 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=02d66a2240fd722f&fccid=f024998a2923ae86&vjs=3
Transformation Change & Learning Consultant,Accenture,"Toronto, ON",,"We help clients with new skilling, talent strategy, leadership development, employee experience, change management and beyond.",Today,Indeed.ca,https://ca.indeed.com/rc/clk?jk=afb45e955d7ff26b&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist,Medlior Health Outcomes Research Ltd.,"Calgary, AB","$80,000 - $98,056 a year","O Ensuring  security at Medlior (backing up , code, etc.).,O Development and implementation of SOPs for Medlior  analytics.",16 days ago,Indeed.ca,https://ca.indeed.com/company/Medlior-Health-Outcomes-Research-Ltd./jobs/Data-Scientist-40c7a3917060d97d?fccid=339646b424dc5cb3&vjs=3
Corporate Statistical Process Control Analyst,Electromac,"Windsor, ON",,"Performing quality assurance on existing manufacturing processes.,Identifying areas that need process control optimization.",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=d44a7d6f6ae32542&fccid=75f43794362866ee&vjs=3
Machine Learning Engineer (Wireless),Bluvec Technoligies Inc.,"Burnaby, BC","$70,000 - $120,000 a year","With core designers from Microsoft, Viavi, Fortinet and Dali wireless etc., we focus on designing IOT security products which provide detection, localization,…",2 days ago,Indeed.ca,https://ca.indeed.com/company/bluvec/jobs/Machine-Learning-Engineer-190a4606759b6bb0?fccid=9101a4e8236e4d23&vjs=3
Data Science Team Manager,SomaDetect,"Kitchener, ON",,"Accountable for the safety and accuracy of research  storage and security.,Experience with TensorFlow, Python Programming Language, JSON , knowledge of…",13 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=bc2d38aa83728bb0&fccid=cbf79dd0666124ef&vjs=3
Senior Data Analyst,Tangam Systems,"Waterloo, ON",,"5+ years of experience in  analysis.,Experience with building and/or using  models.,You used your superior  analytics skills to create…",Today,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ac3ea25c879322d0&fccid=34b4e9bf96447484&vjs=3
Data Scientist,Mastech InfoTrellis,"Ottawa, ON","$60,102 - $114,667 a year","Should have at least 2 months functional experience with ontology-based  ingestion algorithms (e.g., “Smart Ingestion”).,Job Types: Full-time, Contract.",30+ days ago,Indeed.ca,https://ca.indeed.com/company/Mastech-InfoTrellis/jobs/Data-Scientist-cac3ba60f50db250?fccid=bcc8a80dba7de8ef&vjs=3
"Research Intern, Artificial Intelligence",Facebook,"Montréal, QC",,"Avec plus d'un milliard de personnes utilisant le service et plus de cinquante bureaux à travers le monde, une carrière chez Facebook offre d'innombrables…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=948de14b92b379b1&fccid=1639254ea84748b5&vjs=3
Senior Data Analyst (Regulatory/Compliance),Home Construction Regulatory Authority,"Victoria, BC",,Develop and manage  analysis tools and databases to track and monitor relevant compliance related information and data;,9 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=e48e35702b5d48c9&fccid=f7c2d0eeb694d86f&vjs=3
Remote PT Data Science Mentor,Lighthouse Labs,"Vancouver, BC",$30 - $50 an hour,"Minimum 2 years of professional experience in software development (focus in web development) or  science.,More examples include but are not limited to;",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=c77b5c313a0335f4&fccid=6f3cdaca3f302315&vjs=3
Data Scientist II,SurveyMonkey,"Ottawa, ON",,"Strong programming skills, expert knowledge of algorithms, and  structures (Python preferred).,Equipped with rich product  ranging from text to image…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=6315879a041a34bd&fccid=14932909b46ac703&vjs=3
Data Scientist (Decision Science),Compass Digital Labs,"Mississauga, ON",,"Discover different ways of analyzing  across our full company ecosystem, and provide actionable insights before and after high impact business decisions.",27 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=6831948887ddfbef&fccid=b0e29160afa0f3ea&vjs=3
Research & Data Analyst,Industry Training Authority,"Richmond, BC","$70,250 - $90,150 a year","Utilise graphs, and other  visualizations along with a written explanation to tell the story of the  when presenting information to stakeholders.",7 days ago,Indeed.ca,https://ca.indeed.com/company/Industry-Training-Authority-(ITA)/jobs/Research-Data-Analyst-5f1828922b2d9303?fccid=1e32e436d8903d5a&vjs=3
Senior Game Data Analyst,Kabam,"Vancouver, BC",,"Finding answers to business questions via hands-on exploration of  sets using SQL, dashboards, statistical analysis, and  visualizations.",5 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=a2b19e4bcc47f97e&fccid=fde47f06a6b44d5e&vjs=3
Data Scientist,Oracle,"Kitchener, ON",,Familiarize with the ML  repository and become a NetSuite  expert to provide guidance to product teams in using our  service.,13 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=b267e8aeff252c65&fccid=cd22d01053af7669&vjs=3
"Data Scientist, Big Data & Analytics",FPInnovations,"Pointe-Claire, QC",,"The individual will create predictive diagnostics and recommend better business decisions by using   and  analysis, predictive analytics, data…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=778ff8d93620683e&fccid=19120eb0620cda21&vjs=3
Sr. Data Scientist,Skillz Inc.,"Vancouver, BC",,"Experience with Spark and large-scale  analysis.,Experience delivering ML projects end to end in an enterprise setting, including articulating the business…",1 day ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=3f0f0f6b12e3fa4e&fccid=ff1b344fa22fc264&vjs=3
"Director, Data Science",Loblaw Companies Limited,"Brampton, ON",,Collaborate with other   teams across  Insights and Analytics to form an ecosystem of   products that complement each other.,13 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=f25a401fe9e4b3f4&fccid=bc30630cfcc120d4&vjs=3
Computer Vision Intern - XR,eyful,"Montréal, QC",$17 - $25 an hour,"Nous cherchons quelqu'un de curieux, intéressé ou passionné de travailler dans le domaine des technologies médicales (MedTech) et prêt à apprendre.",30+ days ago,Indeed.ca,https://ca.indeed.com/company/eyful/jobs/Computer-Vision-Intern-216b712197acaaf9?fccid=dac31188f4e7ffe1&vjs=3
Senior Data Scientist,RailVision Analytics,"Montréal, QC","$60,000 - $70,000 a year","Assess the viability of  sources, and build scalable integration solutions for new clients.,As a member of the Development Team, you will be responsible for…",23 days ago,Indeed.ca,https://ca.indeed.com/company/RailVision-Analytics/jobs/Senior-Data-Scientist-7057a6c5062d20f3?fccid=47912a4ddabe9c7c&vjs=3
Statistical Analyst,Pacific General Underwriting Management Ltd,"Vancouver, BC",,"Job Type: Full Time, Permanent.,Minimum Education: Master's Degree.",9 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=9a08bfc6354c9d9e&fccid=33f1235ae0fb8894&vjs=3
SCRUM MASTER (DIGITAL & DATA SCIENCE) - 12 MONTH CONTRACT,The Globe and Mail,"Toronto, ON",,"SCRUM MASTER (DIGITAL &  ) - 12 MONTH CONTRACT.,This role helps manage the chaos through the use of Agile methodologies such as Scrum, and keeps the…",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=01dd31e1d188226f&fccid=2c209e080b2e73f5&vjs=3
IBM - Data Scientist,Quebec en Mexico,"Quebec City, QC",,"Completed an internship in  modelling or in   using Python or R.,Avoir effectué un stage en modélisation des données ou en  des données…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=9b1032b0a680e022&fccid=942c4ec626ccb63b&vjs=3
Data Science Team Lead,AlphaLayer,"Edmonton, AB",,"Investment management accompanied with   experience.,Experience with SQL programming for  extraction.",6 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=3454ff1a904f4a71&fccid=ba89c3558fb11a8d&vjs=3
Marketing Science Analyst - Data Engineering,Critical Mass,"Toronto, ON",,"Develop dashboards that provide access to  for the marketing  team and other stakeholders.,Gather  through various third-party platforms and…",12 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ef32de97a1f82255&fccid=4c1cecd72be0fe72&vjs=3
"Lead Educator, Data Science",Juno College,"Toronto, ON","$85,000 a year","You have strong business acumen and are able to think strategically when growing the  program portfolio.,You have deep expertise in querying and programming…",5 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=81cd0f5c9965aed4&fccid=703961dd78d05034&vjs=3
Data Scientist,Neon,"Vancouver, BC",,"Your endless curiosity will help to provide insight into how   fits into the big picture at Neon.,Present  that can immediately answer questions…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=27405c6a5c928802&fccid=70dcb313de6ce890&vjs=3
"Senior Data Scientist (Quebec City), Intact Lab",Intact,"Quebec City, QC",,"Help maintain our  mining tools and platforms.,Your Master’s degree in a relevant discipline (mathematics, , engineering, operational research,…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=44ba72036c5ce11a&fccid=be7195d2ebb48351&vjs=3
Principal Data Scientist,Accenture,"Ottawa, ON",,"A blend of   capability, industry and consulting expertise.,At least 5 years embracing challenges with   lifecycle in enterprise setting.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=355a762dc90e7f3b&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist,Bus.com,"Montréal, QC",,"Familiar with  engineering and visualizations.,Analyze, visualize, and communicate insights from our data.,Knowledge in multi-criteria decision analysis.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=70aed3eb2614b980&fccid=a80572d1fb930693&vjs=3
Senior Data Scientist,roomview Technologies Inc.,"Vancouver, BC",,"Able to understand various  structures and common methods in  transformation.,4+ years’ practical experience with  processing, database programming…",20 days ago,Indeed.ca,https://ca.indeed.com/company/roomvu-Technologies/jobs/Senior-Data-Scientist-789a258154738099?fccid=f53a52f761e67ccb&vjs=3
"Project Manager, Data & Implementation Science",University Health Network,"Toronto, ON",$56 an hour,"Drive business insight and demonstrate benefits of implemented initiatives to the organization by applying sound  analysis,  quality,  reporting &…",13 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=d39b74134f0a926c&fccid=2bef55e014d470c4&vjs=3
